0HR,15MIN,30MIN,1HR,2HR,4HR,6HR,8HR,12HR,16HR,20HR,24HR,UNSYN
PLXNC1,2.0661,0.71563,1.3158,0.76564,0.16544,-0.084644,-0.58481,-0.78488,-0.8349,-0.28471,-1.035,-1.4351,0.01539
ROR1,1.6601,0.27039,-0.42445,-0.01572,1.5783,1.047,-0.66969,-1.4054,-1.4871,0.1069,0.31126,-0.17921,-0.79231
ARHGAP20,1.2298,1.1397,0.41917,0.68938,0.41917,0.68938,-1.112,-1.7425,-1.0219,0.91455,-0.52656,0.10393,-1.2021
H16592,1.4802,1.5258,0.61383,0.47704,-0.16135,0.97863,-0.98213,-1.8941,-0.75414,0.15784,-0.34375,-0.66294,-0.43495
SESN3,0.63132,0.99811,1.4108,0.76886,0.81471,0.86056,-0.42323,-1.9363,-1.0193,-0.56078,0.081119,-0.88173,-0.74418
CCNG1,2.1144,1.4977,-0.22026,0.1934171,1.1013,-0.1762,-0.44051,-0.88102,-1.4096,-0.88102,-0.13215,-0.48456,-0.088102
H14499,2.0289,1.1227,-0.40357,0.83649,1.1704,0.12107,-0.59435,-1.0713,-1.3575,-0.54665,-0.40357,-0.1651,-0.73743
CDKN1C,2.2445,0.65192,-0.42878,0.31064,1.4482,-0.20126,0.19689,-1.282,-1.0544,-0.77005,-0.3719,0.026252,-0.77005
GRIA1,1.9998,1.2105,0.47053,0.47053,0.47053,0.51986,-0.31875,-1.0587,-1.404,0.22388,-1.0094,-1.0094,-0.5654
VAMP4,1.09095,0.816665,1.26347,0.95868,1.094815,-0.321355,-0.3219,-1.1138,-1.14375,-0.201615,-0.877585,-0.69961,-0.545045
DTX3L,1.3526,0.93393,0.35827,0.35827,1.4049,-0.21738,-0.8977,-1.5257,-1.264,0.096613,-0.95003,-0.63604,0.98626
ABCA5,1.2519,1.1707,-0.20916,0.23726,1.9012,0.23726,-0.57442,-1.6702,-1.2238,0.19668,-0.24975,-0.49325,-0.57442
H61273,0.31678,1.6623,-0.49869,0.84682,1.54,0.35755,-0.090955,-1.5996,-1.5996,-0.13173,-0.1725,-0.70255,0.072137
N63445,1.2255,1.2255,-0.15064,0.96084,0.96084,0.64327,-0.20357,-1.1033,-2.0031,0.16693,-0.25649,-1.1033,-0.36235
W69445,0.68492,1.4069,0.39614,0.011107,1.5513,1.0218,-0.99962,-1.3365,-1.6253,-0.42206,-0.56645,-0.13328,0.011107
R60336,1.5265,0.41113,1.3871,0.55055,-0.42543,-0.8437,-0.33248,-1.4014,-1.169,1.4801,0.039325,-0.61133,-0.61133
IGDCC4,1.0859,0.55397,1.0041,0.43121,0.59489,-0.63266,-0.96,-1.0828,-1.3283,1.9452,-0.67357,-0.34623,-0.59174
H15535,1.7792,1.3143,0.61691,0.26822,-0.13858,-0.6035,-0.83596,-1.5333,-1.2428,0.38445,0.90749,-0.080467,-0.83596
FAXC,1.6273,0.52443,0.72495,0.67482,0.023137,-0.82906,-1.0797,-1.1298,-1.5309,1.2262,0.27378,0.42417,-0.92932
FMOD,1.8352,0.98747,-0.16303,0.56361,0.26084,-0.46579,-1.1319,-1.0713,-1.0713,1.1691,0.018632,0.4425,-1.3741
PIH1D1,1.1415,1.0359,-0.28435,1.5639,0.82462,-0.33716,-0.75963,-1.1293,-1.1293,0.77181,-0.073119,-0.020311,-1.6046
WDFY3,0.93882,1.1389,0.98884,-0.011543,0.68873,-0.91189,-0.61177,-0.96191,-1.6122,0.8888,0.83878,0.088496,-1.4621
R34653,1.2067,0.98696,0.98696,1.2067,1.0309,-0.19942,-0.507,-0.85852,-1.1222,-1.1661,0.45968,-1.2979,-0.7267
CAT,1.0696,2.08,0.98872,0.13991,0.98872,-0.70889,-0.66847,-0.91099,-1.3556,-0.70889,-0.46638,0.018655,-0.46638
THBS2,1.9765,1.2752,0.70133,-0.063758,1.1476,-0.19127,-0.63758,-0.89261,-1.2114,-0.57382,-0.38255,0.063758,-1.2114
IFT20,1.0256,2.2343,0.98784,0.19466,0.95007,-0.4852,-0.4852,-0.29635,-0.97621,-0.74959,-0.82513,-0.63628,-0.93844
FLJ10849,1.3286,1.5037,0.33664,-0.53863,1.7371,0.45335,-0.71369,0.16159,-0.71369,-0.88874,-0.83039,-0.65533,-1.1805
CDC42BPA,2.4768,0.44814,0.86427,0.13604,0.39612,-0.17606,-0.90428,-0.90428,-1.4765,-0.90428,-0.12404,0.24008,-0.072023
H05133,1.4841,0.40286,1.6868,1.4503,0.064978,-0.47564,-1.1514,-1.219,-0.94868,-0.20533,-0.17154,-0.10396,-0.81353
DOCK8,1.6594,1.3563,1.4068,0.95211,-0.058292,-0.36141,-0.96765,-1.1192,-0.96765,-0.66453,-0.66453,0.042748,-0.61401
AA057433,1.875,0.87558,1.0422,0.87558,0.48691,-0.62359,-0.51254,-1.623,-0.90121,0.26481,-0.73464,-0.068338,-0.95674
N52170,1.9199,0.85183,1.2453,0.17728,0.68319,-0.44105,-0.89075,-1.4529,-0.72211,0.34592,-1.2842,-0.047564,-0.38484
R71462,0.77911,1.0439,1.7059,1.3087,0.74601,-0.28007,-0.44557,-1.2731,-1.2069,-0.081475,-0.71036,-0.77656,-0.80966
R60996,1.129,0.5356,1.5246,1.2081,0.49604,-0.13694,0.29823,-1.6007,-1.4029,0.17955,-0.76993,-0.53256,-0.92817
ULK2,2.2341,-0.22411,1.4147,0.95945,-0.04202,-0.40619,-0.6338,-1.0435,-1.4077,-0.17858,-0.49724,0.14007,-0.31515
T85754,0.99292,0.10433,2.0218,1.3671,0.057561,-0.50366,-0.36335,-1.2519,-1.6261,-0.36335,-0.55043,0.010793,0.10433
R59736,1.6039,-0.44356,0.4757,1.4367,0.93533,0.64284,0.35035,-1.4464,-0.77783,0.057855,-1.2375,-0.90319,-0.69427
N50955,1.416,0.44146,1.1453,1.5243,0.0083295,0.60389,0.0083295,-1.0745,-0.47895,-0.1541,-1.6701,-1.0204,-0.74966
MME,0.86059,1.7015,0.97028,0.82403,0.97028,0.3853,-0.49217,-0.78466,-1.26,-0.67497,-0.96746,-0.19968,-1.3331
ADGRD1,1.9429,1.0823,0.47992,0.73809,0.82414,0.56598,-0.16549,-1.0691,-0.8109,-0.50971,-1.026,-0.89696,-1.1551
DPP4,1.6368,1.2113,0.36011,0.040921,1.2645,0.89208,-0.38466,-1.023,-0.22507,-0.70385,-0.65065,-0.86344,-1.555
H00856,1.1902,0.27003,2.2468,0.67901,0.81534,-0.17303,-0.27528,-0.82058,-0.82058,-0.27528,-0.75242,-0.85466,-1.2296
N74313,1.2915,1.0749,1.2554,0.49717,1.5443,-0.15276,-0.26108,-1.0916,-1.0193,-0.44162,-0.76659,-0.94712,-0.98323
TMEM106B,1.5526,1.7021,1.1041,0.45619,0.40635,-0.042169,-0.83954,-1.1386,-0.93921,-0.19168,-0.24151,-0.44085,-1.3877
FBN2,1.4504,1.4891,1.1794,0.86965,0.63734,0.17274,-0.67904,-0.60161,-0.71776,-0.83391,-0.95006,-0.75647,-1.2598
LAMA2,1.6014,0.96778,0.92253,1.3298,0.10792,0.60573,-0.02785,-0.88771,-0.52567,-0.75195,-0.84246,-1.114,-1.3855
ANXA3,2.2033,1.3505,0.44761,0.64826,-0.25467,0.34728,0.14663,-0.7563,-1.2078,-0.25467,-1.0071,-0.80646,-0.85662
AVPI1,2.0678,0.31847,0.66833,1.1931,-0.20633,0.43509,0.4934,-1.1976,-1.0227,-0.14802,-0.43958,-0.73113,-1.4309
CRABP2,1.2195,1.7463,1.459,-0.16947,0.40526,-0.12158,-0.26526,-0.31316,-0.69632,-0.12158,-0.40895,-0.84,-1.8937
HFL1,0.89764,0.69558,1.908,1.0997,-0.31476,0.34196,-0.16321,0.038859,-0.97148,-0.11269,-0.46631,-1.2746,-1.6787
W78854,0.88002,0.88002,1.1482,0.9694,0.61189,1.0588,-1.5332,-1.0863,0.165,-0.058439,-1.0416,-0.81815,-1.1757
SQLE,1.2278,1.2867,1.4045,0.49157,1.1984,0.19708,-0.36245,-0.80419,-0.95144,-0.71584,-1.0103,-0.92199,-1.0398
FAM198B,1.0754,0.84407,1.7365,0.44746,0.97628,0.34831,0.050848,-0.14746,-0.87458,-0.87458,-1.172,-1.139,-1.2712
AD036,1.3922,1.4987,0.0081896,0.54051,1.4987,0.39856,0.0081896,-0.41767,-0.9145,-0.84352,-1.1274,-1.1629,-0.87901
OSBPL1A,1.2585,1.4354,0.68369,0.99322,1.0817,0.37416,-0.2449,-0.59865,-1.2619,-0.77553,-1.2177,-0.90818,-0.81974
WNT2,1.8084,1.5171,0.43529,0.51851,0.22725,0.76816,-0.10562,-0.60493,-0.81297,-0.18884,-1.1458,-1.3123,-1.1042
H66594,1.5596,1.4915,1.1507,0.43513,0.67366,0.3329,-0.3827,-0.75754,-1.0983,-1.0301,-0.99607,-0.28047,-1.0983
ASNS,1.718,1.2829,0.88408,0.59404,0.99285,0.12271,-0.45738,-0.6024,-1.11,-1.1825,-1.0375,-0.23985,-0.96496
MEST,0.85363,0.85363,0.7109,1.603,1.2105,0.67522,-0.2882,-1.1803,-1.0732,-0.96616,-0.75207,-0.64502,-1.0018
DHCR24,0.98195,1.016,1.0841,1.2202,1.1862,0.47134,-0.20948,-0.8903,-0.95838,-1.2648,-0.95838,-0.7201,-0.95838
W79348,0.88659,0.77322,1.718,1.3401,0.28197,0.65986,-0.095926,-0.77613,-0.96508,-1.154,-0.77613,-1.154,-0.73834
PIM1,0.26548,1.058,1.4159,1.5437,1.2369,0.086527,-0.34807,-0.70598,-0.78267,-0.73155,-1.0383,-0.85937,-1.1406
RHOBTB3,1.376,1.9604,0.49947,0.82413,0.69426,0.10988,-0.60436,-1.0913,-1.3186,-0.63682,-0.73422,-0.63682,-0.44203
AA012995,1.7058,1.4026,0.70964,1.0128,0.5797,0.23321,-0.45976,-1.1094,-1.2827,-0.37314,-0.76294,-0.71963,-0.93619
TMEM97,1.61,1.2841,1.3203,0.92201,0.63231,-0.16435,-0.70752,-0.9248,-1.1783,-0.67131,-0.85237,-0.70752,-0.56268
SC5D,1.1751,1.4814,0.5625,0.98364,0.94536,0.48593,-0.39464,-0.58606,-1.7346,-0.77749,-0.81578,-0.24149,-1.0838
SLC2A12,1.7673,1.1941,1.0986,0.19105,0.42987,0.95527,-0.42987,-0.62093,-1.3851,-0.85975,-0.62093,-0.76422,-0.95527
SPTBN1,0.67366,0.9125,0.67366,0.75327,0.9523,1.3106,-0.60017,-1.3565,-1.7148,-1.1177,-0.042869,0.31539,-0.75939
IPO8,0.5368,1.7246,1.539,0.054251,0.68528,0.7224,-0.16846,-1.2449,-1.579,-0.6139,-0.57678,-0.6139,-0.46542
SLC22A17,1.3002,1.7238,1.4157,0.37615,0.53016,-0.23991,-0.54794,-0.81746,-1.318,-1.2795,-0.58644,-0.2014,-0.35542
HMGCR,1.5897,0.80644,1.4391,1.2583,0.77632,-0.33833,-0.82035,-0.76009,-0.85047,-0.72997,-0.94085,-0.85047,-0.57934
CYP1B1,1.3199,0.71053,1.0954,0.5181,1.8972,-0.15543,-0.8931,-0.79688,-1.1497,-0.8931,-0.73274,-0.73274,-0.1875
RDH10,1.2727,1.4391,1.1395,1.2061,0.83993,-0.25864,-1.0243,-1.0243,-0.6914,-0.45837,-0.85785,-0.85785,-0.72469
SYNPO2,0.50772,0.7383,1.8624,1.8336,0.56536,-0.70282,-0.96223,-0.96223,-0.55871,-0.44342,-0.73165,-0.58753,-0.55871
MID1,0.63736,1.6437,1.5431,0.87218,0.80509,-0.57027,-1.3083,-1.107,-0.6709,-0.369,-0.77154,-0.80509,0.10064
AA040147,0.97276,1.1576,1.9711,0.45509,1.1207,-0.46931,-0.91303,-0.69117,-0.8021,-0.58024,-0.46931,-0.6542,-1.0979
PQLC3,1.0151,1.6049,1.7524,0.75709,0.49906,-0.86484,-1.0123,-0.71739,-1.0123,-0.60681,-0.31191,-0.31191,-0.79112
ELF2,1.0735,1.2621,1.5638,1.1112,0.206,-1.0764,-1.4536,-0.77466,-0.85009,-0.4352,-0.81238,-0.095744,0.28143
HBP1,1.2392,0.50473,1.582,1.4841,0.4068,-0.7684,-1.7477,-0.67046,-0.37666,-0.96426,-0.27873,-0.27873,-0.13183
W67250,0.91958,1.2427,0.63239,1.3504,1.494,-0.7677,-0.9472,-0.15741,-0.5523,-0.7318,-1.1626,-1.1985,-0.12151
COL3A1,0.96007,1.6612,1.6963,0.29395,0.29395,-0.12675,-0.75781,-0.89805,-0.58252,-1.0383,-0.021575,0.083602,-1.5642
PDE8A,0.85558,1.3255,1.0122,0.93391,0.033139,-0.045189,-1.0634,-1.1418,-0.3585,-0.67181,0.26812,0.81641,-1.9642
C1orf198,1.3459,1.0974,0.25235,1.3956,0.6003,0.74942,-0.94059,-1.4874,-0.79147,-0.79147,-0.195,0.05353,-1.2885
SUSD4,0.73122,-0.16556,2.4052,1.4486,0.10347,-0.045989,-0.79331,-0.70363,-1.0026,-0.34492,-0.25524,-0.31502,-1.0623
SSPN,1.7058,0.20238,0.84671,0.41716,0.57824,1.0078,-0.97888,-0.7641,-1.2473,0.094997,-0.65672,0.52455,-1.7306
PGRMC2,0.89511,0.76954,0.18353,1.2718,0.93697,1.3137,-0.40248,-0.73734,-0.40248,-1.2396,-0.52805,-0.15133,-1.9094
VEZF1,0.52603,0.87974,2.4125,1.0566,-0.18139,-0.063487,-0.59405,-0.71196,-1.0362,-0.653,-0.80038,-0.97724,0.14284
TXNIP,-0.302815,0.924615,-0.53862,-0.65221,-0.199468,-1.4304,-1.32485,-0.86491,0.62769,1.47515,0.98545,1.1659,0.134475
HMGN3,-0.013056,0.46785,-1.088,-0.6637,-0.32423,-1.2012,-1.1163,-0.94659,0.07181,1.6277,0.94876,1.5711,0.66587
BM-002,0.59785,0.51934,-1.09,0.087564,-0.50123,-1.561,-1.4433,-0.34422,-0.61898,1.0296,0.87262,1.4222,1.0296
FAM111A,-0.1151,-0.46424,-0.68868,-0.18991,-0.53905,-1.3371,-0.86325,-0.56399,-0.46424,0.43354,1.4311,1.5807,1.7802
FPGT,0.49958,-0.35684,-0.53526,-0.24979,-1.0705,-1.2846,-1.3203,-0.82073,0.96347,0.32116,1.2489,1.4987,1.1062
KIAA1376,0.75888,0.79639,-0.55401,1.134,0.4963,-1.3417,-1.6793,-1.6043,-0.028855,1.0215,0.79639,0.27123,-0.066366
WEE1,0.69305,0.72308,0.24257,0.63298,0.21253,-1.5594,-1.5594,-1.4993,-0.77852,0.2726,0.36269,1.2336,1.0234
HLTF,0.29258,0.19981,-0.41865,0.045195,0.014272,-1.1917,-1.5628,-1.5937,0.10704,0.35443,1.2203,1.746,0.78735
HOXA11,1.4297,1.0342,-0.19164,-0.78481,0.0060838,-1.2198,-1.6152,-1.2198,-0.23118,1.1924,0.2829,0.32244,0.9947
USP49,1.2915,0.36419,-0.51437,0.16895,1.0963,-1.3929,-1.5882,-1.2465,-0.41675,-0.22152,0.41299,1.3404,0.70584
RAP140,1.4931,1.3309,-0.994,0.14141,0.68207,-1.3725,-1.3184,-1.2103,-0.6696,0.24954,0.57394,0.57394,0.51987
FLJ10971,1.6461,0.049137,-0.90903,0.049137,1.6993,-1.2284,-1.601,-0.53641,-0.53641,0.20883,0.26206,-0.0040947,0.90084
KBTBD6,1.5805,0.10811,-0.89579,-0.4273,0.71045,-1.8328,-1.4981,-0.092667,0.37582,0.24196,0.64352,1.3128,-0.22652
ZNF302,0.78733,1.1089,-1.3026,-0.016489,0.090687,-1.5705,-1.0882,-0.60596,-0.49878,1.3232,0.25145,-0.016489,1.5376
DHX57,0.52032,1.1545,-0.04336,-1.1003,0.59078,-1.4526,-0.3252,-1.3821,-0.88889,1.4363,1.2954,0.3794,-0.18428
SUPT20H,0.48483,0.17229,-1.4945,-1.2341,-1.0778,-0.97366,0.1202,-0.34859,0.068116,1.5787,0.79736,1.5787,0.32856
FLJ20008,0.88534,0.3908,-0.3735,-1.0479,0.84039,-0.46342,-0.82309,-1.4975,-0.82309,0.9303,0.88534,1.7845,-0.68822
MSL1,0.45487,0.20641,-0.68804,-1.5328,0.65364,-0.3402,-0.48927,-1.4334,-0.83712,0.85241,1.4487,1.5978,0.10703
CACNA1E,0.93014,0.53368,-1.0026,-1.2503,-0.011436,-0.40789,-0.70523,-0.70523,-1.1512,0.03812,1.8222,1.5248,0.38502
CREBZF,1.1125,0.9417,-0.70956,0.14454,0.20148,0.88476,-1.1651,-1.279,-0.59568,-0.14016,0.657,1.5111,-1.5637
STX7,0.87645,0.7765,-1.0225,-0.3229,0.52664,-0.57276,-1.1225,-1.6222,0.2268,0.17683,1.5261,1.3762,-0.82263
ALDH3A2,1.3095,0.56028,-1.604,-0.48024,0.3938,-0.022411,-0.68834,-1.4375,-1.0629,0.6019,0.72676,1.5592,0.14407
MEIS1,1.8576,0.86323,-1.1728,-0.50992,-0.55727,0.34238,-0.74667,-1.0781,-1.1728,0.62648,1.3841,0.48443,-0.32052
NEDD4L,0.68406,-0.38664,-1.1302,-1.1599,-0.059483,-0.059483,-0.53535,-0.92199,-1.041,0.92199,1.606,1.725,0.3569
AGGF1,0.77589,0.49571,-1.3722,-0.81181,-1.1387,-0.71841,-0.15805,-0.25144,-1.092,0.26222,1.523,1.3829,1.1028
F2R,0.11149,-0.34145,-0.43204,-1.4738,1.5156,0.29267,-0.25086,-0.97556,-1.3832,0.020905,0.56443,0.42855,1.9233
PLEKHA5,1.6017,1.0124,0.65883,1.2089,0.38381,-1.4234,-0.95198,-0.99127,-1.227,-0.16622,-0.51981,-0.32337,0.73741
THBS3,1.2571,1.336,1.0202,0.78338,1.1781,-1.1508,-0.91395,-1.0718,-1.2692,-0.36133,-0.55869,-0.44027,0.19129
DAAM1,1.5165,1.3691,0.52155,0.26361,1.3322,-0.91555,-1.284,-1.5051,-0.84185,0.18991,-0.10488,-0.10488,-0.43651
KIT,1.033,1.5117,1.1175,1.0049,0.41365,-0.93776,-1.3319,-1.3319,-1.2475,0.13211,0.0758,0.019491,-0.45913
H83657,0.83473,0.5623,1.5158,0.38069,0.69851,-0.66359,-1.3446,-1.4809,-1.4354,0.15367,0.5623,0.88013,-0.66359
SULT4A1,1.3811,0.65879,1.3295,1.2263,-0.11509,-0.57942,-1.2501,-1.3533,-1.4049,-0.11509,-0.11509,0.71038,-0.37305
ECM2,1.2405,1.674,0.4602,0.72031,0.50355,-0.79701,-1.1872,-1.664,-1.0571,0.6336,-0.016674,0.07003,-0.58025
N64208,1.2725,1.5889,0.36855,0.23295,1.2725,-0.76144,-1.0326,-1.4846,-1.3942,0.23295,-0.21904,0.23295,-0.30944
CYP4V2,1.3856,1.6393,0.26932,-0.08587,0.62451,-0.39032,-1.3544,-1.5066,-1.4559,0.066354,0.57377,0.42154,-0.18735
LDB2,1.1199,0.4738,1.1199,0.68917,0.12922,-0.60302,-1.5937,-1.8952,-0.94761,0.94761,-0.043073,-0.086146,0.68917
HMGB2,1.2052,1.564,0.76666,0.8464,-0.30973,-0.828,-1.4659,-1.5057,-0.98746,0.4876,-0.23,-0.1104,0.56733
SLC35E2,0.96769,2.0878,0.49379,0.88153,0.7092,-0.84176,-1.2726,-1.2295,-0.88484,0.2353,-0.58327,-0.32477,-0.23861
GTF2I,1.3913,1.7469,0.17196,0.42598,0.73081,-1.1998,-1.3014,-1.2506,-0.79334,0.27357,-0.3361,-0.53932,0.68001
PNRC1,0.89721,1.6178,0.84383,1.5645,0.60361,-0.86436,-1.2113,-1.1846,-0.97112,-0.25048,-0.49069,-0.41062,-0.14372
TCF7L2,1.5369,1.0555,0.76662,1.6814,-0.099994,-0.38887,-1.3518,-1.3036,-1.111,-0.24443,-0.29258,-0.051849,-0.19629
SAV1,1.326,1.3625,0.88775,1.253,0.23037,-0.79223,-1.267,-1.3766,-1.1574,-0.42702,-0.42702,0.37645,0.011237
TGFBR3,0.67168,0.67168,1.1921,1.5969,1.0765,0.32472,-1.3523,-1.3523,-1.0053,-0.45594,-0.54268,0.0066723,-0.83182
FYN,0.83577,1.0175,0.76309,0.79943,1.4535,0.32704,-1.1628,-1.4898,-1.4172,-0.54506,-0.32704,0.50873,-0.76309
HDHD3,1.0093,1.1941,1.5267,0.67664,1.231,-0.32126,-0.98653,-1.2822,-1.2822,-0.17343,-0.61694,-0.4691,-0.50606
PDZRN3,0.53183,0.60865,1.5305,1.3769,1.0312,-0.42842,-1.1582,-1.4271,-1.4271,-0.23637,-0.044319,-0.58206,0.22455
LPIN1,1.7053,0.66148,0.36324,0.36324,1.1088,0.31354,-1.625,-1.3268,-1.625,0.015294,-0.084119,0.11471,0.015294
DDIT3,0.34102,1.492,1.0231,1.3641,-0.085254,-0.042627,-0.85254,-1.1936,-0.98043,-1.0231,-0.4689,1.2788,-0.85254
SH3D19,0.76618,0.62183,0.86241,1.5842,-0.34052,0.47747,-1.4953,-1.784,-1.2548,0.52559,0.33312,-0.19617,-0.099936
ACF7,1.203,1.111,0.32906,0.74304,0.65104,-0.26891,-1.6488,-1.5108,-0.72888,-0.77488,0.51305,1.111,-0.72888
TAX1BP1,0.38842,1.6715,0.057308,1.092,0.51259,-0.10825,-1.4327,-1.7224,-1.1844,-0.39797,0.55397,0.80231,-0.23241
COBLL1,1.5586,1.1139,-0.36875,0.32313,0.17487,0.66908,-1.3077,-1.5054,-1.456,-0.46759,0.91618,0.61966,-0.26991
PDE8B,1.9114,0.44696,0.21076,-0.26164,0.63593,-0.4506,-0.63956,-1.6788,-1.5844,1.1556,0.44696,0.16352,-0.35612
ZNF521,0.99555,1.2428,0.33608,0.70703,0.58338,-0.28218,-1.3126,-1.4775,-1.6011,1.3253,-0.44704,0.0063411,-0.076093
AHR,1.0395,1.2278,0.6628,0.23904,0.56863,-0.18471,-1.1735,-1.7856,-1.456,0.9453,0.14487,0.56863,-0.79681
ACACA,2.1837,0.83466,-0.39703,0.24814,0.5414,0.072187,-0.98355,-1.3355,-1.6874,0.60006,0.072187,0.072187,-0.22107
W45465,1.6698,1.5306,0.13915,0.64935,0.69573,-0.23191,-0.97403,-1.4842,-1.2523,0.55659,0.07161839,-0.55659,-0.74212
CAMK2D,1.5033,1.1293,1.0358,0.52148,1.0358,-0.55385,-1.3019,-1.4889,-0.97464,0.1007,0.19421,-0.36684,-0.83437
PXK,1.2973,1.0379,-0.14827,0.40773,1.0749,-0.85253,-1.4456,-1.668,-1.2603,0.18533,0.3336,0.40773,0.63013
TBCK,1.3398,0.84501,-0.24361,1.0429,0.69656,-0.24361,-1.1343,-1.827,-1.5796,0.25122,-0.19412,0.39967,0.64708
SRGAP2,0.71338,0.64737,-0.67276,0.68038,0.97741,-0.63976,-1.1018,-1.7289,-1.1348,-0.0787,0.31734,0.25133,1.7695
DPYD,0.61771,1.2796,-0.13237,0.044122,0.61771,0.088245,-0.83833,-1.7649,-2.1179,0.61771,0.44122,0.44122,0.70596
FAM102B,1.2819,1.1996,0.66468,-0.36399,0.74698,-0.52858,-0.94005,-1.475,-1.763,-0.11711,-0.2817,0.74698,0.82927
BBS2,0.88837,1.9221,0.49628,-0.14532,0.53192,-0.6087,-1.0008,-1.2859,-1.7493,-0.35919,0.24677,0.28241,0.78144
SERPINA7,1.1107,0.31831,0.53842,0.80254,0.80254,-0.25397,-0.73821,-1.7067,-2.0148,-0.34201,-0.16593,0.84657,0.80254
RB1CC1,0.95741,1.0003,0.31363,1.4724,0.52822,-0.072631,-1.0168,-1.4031,-1.961,0.013206,-0.54473,0.099042,0.61406
PBX1,1.6422,1.3524,0.67619,0.57959,0.2415,-0.2898,-1.0626,-1.4007,-1.5939,-0.1932,-0.2898,-0.43469,0.77279
RAB11FIP2,1.6953,0.69998,0.17864,0.5104,0.84216,-1.0062,-1.3854,-1.1484,-1.5749,0.27343,-0.24791,0.36822,0.79477
TFPI,1.185,0.094382,-0.22372,0.73059,0.59426,-0.99625,-1.0417,-1.1326,-1.7688,0.3216,0.094382,0.45793,1.6849
AHRR,1.3256,0.60353,-0.070351,-0.11849,0.89234,-1.2256,-0.31102,-1.4663,-1.8513,0.21846,0.26659,0.50727,1.2293
ADD3,0.8804,1.2195,0.37172,0.074997,1.0076,-0.64562,-1.0695,-1.4934,-1.7054,-0.26412,-0.22173,0.75323,1.0923
B3GALT6,1.203,2.0635,-0.062294,-0.36598,0.34262,-0.41659,-1.1758,-0.66966,-1.3782,-0.66966,-0.51782,1.0006,0.6463
TCAF1,1.1088,1.6156,-0.41148,-0.12994,1.1651,-1.1998,-1.3687,-0.97456,-1.1435,0.20791,-0.12994,0.32052,0.93991
SLC35A1,0.50548,1.8271,0.46877,-0.41229,1.203,-1.2199,-1.0731,-1.0364,-1.4769,0.46877,-0.1186,0.2485,0.61561
AA010407,1.3409,1.0137,-0.43497,-0.20131,-0.15458,-0.6219,-1.5098,-1.3696,-1.1827,0.8268,0.967,1.1539,0.17255
IFIT2,1.4187,1.1435,-0.46232,0.36351,0.04235,-0.69172,-1.3799,-1.334,-1.0588,-0.46232,0.04235,1.1435,1.2352
CALCOCO1,2.2173,0.58679,-0.17021,0.0044793,0.99441,-0.63606,-1.1019,-1.3931,-1.2766,-0.053752,-0.17021,0.52856,0.47033
LSAMP,1.3633,0.50648,-0.75625,-0.03469,1.0927,-0.03469,-1.4778,-1.1621,-1.2974,1.1378,0.82216,0.59668,-0.75625
ZBTB44,1.4531,0.24646,0.8706,-0.58574,0.62095,-0.66896,-1.3763,-1.2931,-1.5012,1.2451,0.37129,-0.0032007,0.62095
XRN1,1.28,-0.4892,0.036782,-0.15449,1.4713,-0.72829,-1.3977,-1.2543,-1.1586,1.0888,1.0888,0.3715,-0.15449
