cell cycle process(GO:0022402);cell cycle(GO:0007049);cellular process involved in reproduction(GO:0048610);reproduction(GO:0000003);translation(GO:0006412);cellular component assembly(GO:0022607)
YER130c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER150w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR053C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR055W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR056C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL055W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL253W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR142W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR146C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR192C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR211W;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
YHR030C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR064C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR174W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL052W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL107C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL108C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL165C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR009C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR045C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR078W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL060C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL152C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL153W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR016W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR194C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR044c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR089C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR136c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR061W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR080W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL026w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR359W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR414C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML038C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR039C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL160W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YNR033W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL158C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR036W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL059W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR178C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YOR197W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR207C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR208W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR209C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR299W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YOR344C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR385W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR389W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL057C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL106C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL277C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL278C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR030W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR074C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YAL012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR055w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR129C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR497C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER158c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL179C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR189C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHL021C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL159W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL167W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL171C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL213W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR121W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL164C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL185W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YKL193C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL218C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR013W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR257W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR258W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR153c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR300W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR377C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR392C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML008C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR058W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR104C;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YMR295C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR305C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL015W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL074C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL142W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL274C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL019W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR128C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR018W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR358W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR375C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL061W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL104W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YAL018C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBL009W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YBL078C;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YBL084C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YBR045C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YBR063C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR064W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR148W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YBR184W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR233W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR250W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR268W;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YCL048W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCLX03C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCR002c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCRX06W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCRX07W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL008w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL103C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL114w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL154W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YDL155W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YDL186w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL187c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDL239c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR042C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR065w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR104C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR113C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR117C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YDR118W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YDR177W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR191W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR218C;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
YDR253C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR260C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR263C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR273W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YDR317W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR326C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR355C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR371W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR402C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YDR403W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YDR438W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR508C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR516C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YDR522C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR523C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YEL016c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YEL023c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YEL061c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER003c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER085c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER096w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER106w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER115c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER180c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER182w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFL011W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFL012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFL040W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR023W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFR028C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YFR032C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL015C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL116W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YGL138C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL162W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL170C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL180W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YGL230C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR059W;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
YGR108W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YGR109C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YGR110W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR185C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YGR202C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR224W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR225W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YGR226C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR228W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR229C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR266W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGR273C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHL012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR015W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR124W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YHR150W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR152W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR166C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YHR184W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR185C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL045W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL057C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL099W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL112W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL139C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL144W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL159W;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
YIR013C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL037W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL038C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL160C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR036C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR099W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR119C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL022C;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YKL042W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL096W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YKL104C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL107W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL189W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR005C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR195C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR209C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR210W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YLR213C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YLR220W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR227C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YLR012C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR013W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR030W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR045c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR049C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR054C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YKR089C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL004w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL005C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL012W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR265C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR273C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR274W;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
YLR290C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR307W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YLR308W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YLR314C;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
YLR341W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR343W;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE
YLR368W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML034W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YML065W;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
YML119W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR001C;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YMR017W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR118C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR125W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR184W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YMR188C;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
YMR232W;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
YMR272C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL013C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL014W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL018C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL019C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL033W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL034W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL128W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL155W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL204C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL205C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL219C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL225C;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
YNL318C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNL319W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YNR034W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL015W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR073W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YOL132W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YOR033C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YOL024W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL047C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOL091W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR152C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR190W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR214C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR242C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR249C;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
YOR255W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YOR298W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YOR313C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR339C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR355W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR365C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YOR366W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL021W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL027W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL033C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL034W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL124W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL130W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPL178W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR027C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR077C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR078C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR120C;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
YPR140W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YPR141C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YAL062W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YAR007C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YAL067C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YBR186W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YCR010C;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YDR015c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR256C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR285W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YDR374C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YDR446W;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
YER024w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER044c-a;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YER179w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YFL003C;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE
YGL009C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL033W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL081W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YGL183C;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
YGL249W;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
YGL251C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHL022C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHL024W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR014W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR079C-B;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR153C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR157W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR202W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YHR208W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL031W;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
YIL072W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YIL121W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL074C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJL106W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YJR152W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKL120W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR033C;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YKR034W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL046c;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLL047W;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
YLR096w;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
