15min,30min,60min,90min,3hr,6hr,9hr,24hr
AT1G04820,1.448977,0.242451,0.860986,0.73117,-0.055363,-1.307706,-0.895349,-1.025166
AT1G01480,-0.353553,2.474874,-0.353553,-0.353553,-0.353553,-0.353553,-0.353553,-0.353553
AT3G28930,1.31185,-0.072881,0.874567,0.906958,0.072881,-0.753099,-1.603372,-0.736903
AT4G20890,1.457391,0.012409,0.630111,0.277139,0.795567,-1.454633,-0.561171,-1.156812
AT2G45820,0.741584,0.907271,0.971408,0.41021,-0.45564,0.292625,-1.668898,-1.19856
AT3G15210,0.9763,0.942268,0.904833,0.435188,0.166333,-0.766151,-1.300458,-1.358313
AT5G47770,1.892536,-0.553032,0.188049,-0.100972,0.269568,0.595644,-1.064378,-1.227415
AT2G28740,1.042757,0.630804,0.518453,0.209488,0.967857,-1.054461,-1.644303,-0.670595
AT2G14850,0.827744,2.064942,-0.055968,-0.150231,-0.939681,-0.656893,-0.303408,-0.786504
AT4G08500,1.680901,0.425173,-0.481135,0.146729,0.741835,-0.071658,-1.540314,-0.901531
AT3G45640,1.967781,0.954513,-0.357107,-0.455619,0.124196,-0.40777,-1.041063,-0.784931
AT5G52350,0.556675,0.556675,-0.236396,0.556675,-0.236396,0.556675,-2.310584,0.556675
AT3G20600,1.82944,0.598354,-0.030286,0.133422,0.081036,-0.672022,-1.654272,-0.285671
AT5G06940,1.487629,1.127655,0.899151,-0.838112,-0.753596,-1.007143,-0.418665,-0.49692
AT1G53840,1.581166,0.7235,1.009388,-0.134167,-0.394978,-0.796226,-0.700929,-1.287754
AT2G41110,0.745839,0.55369,0.740782,0.680104,0.761008,-0.649765,-1.656015,-1.175644
AT5G37770,1.307533,1.269217,-0.493318,-0.054158,0.243527,0.214054,-1.586797,-0.900057
AT2G41100,1.38715,1.273914,0.413853,0.211645,-0.20086,-1.133716,-0.920723,-1.031263
AT5G57560,1.186493,0.726688,-0.285596,0.124308,1.20075,-0.731143,-1.622238,-0.599261
AT1G72260,0.345133,0.844365,0.23306,0.375698,1.39454,-1.335956,-0.418999,-1.43784
