"1","2","3"
"YIL162W",3,5,4
"YDL138W",3,3,5
"YDL048C",3,3,3
"YGR143W",3,4,4
"YKL129C",3,3,3
"YIL167W",5,4,4
"YHR152W",3,5,4
"YJL079C",3,3,3
"YAR018C",3,5,3
"YAL022C",3,3,3
"YGR279C",2,2,2
"YGL201C",5,4,4
"YNL057W",3,3,3
"YML119W",3,3,3
"YOL137W",3,3,3
"YPL186C",3,1,5
"YCL038C",5,4,4
"YKR021W",3,3,3
"YPR157W",1,3,3
"YJL051W",5,4,4
"YOL014W",3,3,3
"YGR230W",5,4,4
"YLR190W",5,4,4
"YMR032W",3,4,4
"YOL070C",3,3,3
"YLR297W",3,3,3
"YHR151C",3,3,3
"YNL058C",3,3,3
"YER111C",5,2,2
"YML109W",5,4,4
"YNR016C",5,4,4
"YBR067C",4,4,4
"YGL055W",5,4,4
"YLR050C",4,3,5
"YGR109C",2,2,2
"YPR120C",2,2,2
"YDL127W",2,2,2
"YNL289W",2,2,2
"YPL256C",2,2,2
"YMR199W",2,2,2
"YJL187C",2,5,2
"YDL003W",5,4,4
"YMR076C",2,4,4
"YKL042W",2,4,4
"YFL008W",2,4,4
"YPL241C",2,5,4
"YMR078C",5,4,4
"YLR212C",2,5,4
"YNL225C",2,5,4
"YPL209C",4,5,4
"YJL074C",2,4,4
"YNL233W",4,1,5
"YLR313C",4,2,2
"YGR041W",2,4,4
"YGR152C",2,2,2
"YDR507C",2,5,2
"YIL159W",5,4,4
"YGL027C",4,5,4
"YML102W",5,4,4
"YPR018W",5,4,4
"YBL035C",5,4,4
"YNL102W",5,4,4
"YBR278W",5,4,4
"YPR175W",5,4,4
"YNL262W",5,4,4
"YBR088C",5,4,4
"YLR103C",5,4,4
"YAR007C",4,4,4
"YNL312W",4,4,4
"YJL173C",4,4,4
"YER070W",5,4,4
"YOR074C",5,4,4
"YDL164C",4,4,4
"YKL045W",5,4,4
"YBR252W",2,4,4
"YLR032W",5,4,4
"YML060W",5,4,4
"YDR097C",5,4,4
"YNL082W",2,4,4
"YOL090W",5,4,4
"YLR383W",2,4,4
"YKL113C",5,4,4
"YLR234W",5,4,4
"YPL153C",4,4,4
"YDL101C",2,5,2
"YML021C",5,4,4
"YML061C",5,4,4
"YMR179W",5,2,2
"YML027W",5,4,4
"YDL227C",2,4,4
"YLR382C",5,4,4
"YJL196C",5,4,4
"YKL165C",2,2,2
"YLL002W",5,4,4
"YPL124W",2,4,4
"YKL101W",2,5,2
"YLR457C",4,4,5
"YBR070C",4,4,5
"YLR233C",5,4,4
"YPL057C",2,4,4
"YBR073W",5,4,4
"YGL200C",4,3,5
"YHR153C",2,4,4
"YNL272C",4,1,5
"YKR077W",5,4,4
"YDL105W",5,4,4
"YPL267W",2,2,2
"YDL156W",5,4,4
"YOL017W",5,4,4
"YBR071W",4,3,5
"YLL022C",5,4,4
"YLR236C",4,2,2
"YCL022C",4,2,2
"YCL024W",2,5,2
"YLR121C",4,4,4
"YHR154W",2,4,4
"YHR110W",4,1,5
"YDL010W",5,4,4
"YPR174C",4,1,5
"YJL181W",4,3,5
"YLR183C",5,4,4
"YOL007C",4,1,5
"YIL026C",4,1,5
"YKL108W",5,4,4
"YLR326W",4,1,1
"YLR381W",4,4,4
"YNL273W",5,4,4
"YJL018W",4,2,2
"YBR089W",4,2,2
"YLR349W",4,3,3
"YCL061C",5,4,4
"YDR309C",4,5,5
"YKR013W",4,1,5
"YDL018C",4,1,5
"YKR083C",2,5,4
"YDR383C",4,3,5
"YDR013W",5,4,4
"YGR238C",2,5,2
"YNL309W",5,2,2
"YPL208W",2,5,2
"YLR376C",5,4,4
"YNL300W",4,1,1
"YAR003W",5,4,4
"YCL060C",4,2,2
"YDL103C",5,4,4
"YNL303W",2,2,2
"YNL310C",4,4,5
"YOR144C",4,4,4
"YDR488C",2,4,4
"YOR026W",2,5,2
"YIL140W",2,4,4
"YKL067W",5,4,4
"YJL115W",5,4,4
"YDL197C",5,4,4
"YCR065W",5,4,4
"YBR275C",5,4,4
"YKL127W",2,4,4
"YAR008W",5,4,4
"YDL095W",2,2,2
"YOL019W",4,3,3
"YLR151C",2,4,4
"YOR284W",4,1,5
"YMR048W",5,4,4
"YJR155W",2,4,4
"YLR126C",2,2,2
"YNL304W",4,1,1
"YGR189C",4,4,4
"YAL034W-A",4,1,1
"YBR276C",2,2,2
"YDL096C",4,4,4
"YFR026C",2,2,2
"YFR027W",5,4,4
"YNL072W",5,4,4
"YDL179W",5,2,2
"YLR079W",2,2,2
"YJL194W",5,4,4
"YLR274W",5,4,4
"YGR044C",5,4,4
"YJL157C",2,2,2
"YKL185W",5,4,4
"YHR005C",2,2,2
"YNR001C",3,5,5
"YKL150W",3,4,4
"YLR395C",2,4,4
"YOR065W",2,5,4
"YDL181W",2,2,2
"YGR183C",3,4,4
"YLR258W",5,4,4
"YML110C",3,3,5
"YLR273C",5,2,2
"YCR005C",3,4,4
"YCL040W",3,3,5
"YMR256C",2,4,4
"YIL009W",5,4,4
"YLL040C",3,4,5
"YGR281W",3,3,3
"YBR083W",5,4,4
"YBR054W",3,3,5
"YKL116C",5,5,2
"YPR002W",5,4,4
"YNR067C",3,4,4
"YBR158W",2,5,2
"YDL117W",5,4,4
"YMR007W",3,3,3
"YNL046W",3,3,5
"YOR264W",3,3,5
"YPL066W",3,3,3
"YBR052C",3,3,5
"YPL158C",3,3,5
"YHR022C",3,3,5
"YPL004C",3,3,3
"YBR157C",3,3,5
"YNL078W",5,5,4
"YOR066W",5,5,4
"YBR053C",3,3,5
"YDR511W",3,3,5
"YDR033W",3,3,3
"YKL163W",3,4,4
"YBR231C",5,3,5
"YDR368W",3,4,5
"YLR049C",4,3,5
"YLR286C",4,3,5
"YHR038W",5,4,4
"YGL089C",2,2,2
"YPL187W",2,2,2
"YNL173C",2,2,2
"YJR148W",2,4,4
"YOR317W",3,3,5
"YOR316C",3,3,5
"YPL014W",4,3,5
"YJL078C",4,3,5
"YKL161C",3,3,3
"YHR113W",4,5,5
"YDL119C",3,3,5
"YDL124W",3,4,5
"YHR039C",5,4,4
"YDR493W",5,4,4
"YGL028C",3,3,5
"YNL073W",5,4,4
"YER017C",5,4,4
"YKL066W",4,2,2
"YAL040C",5,2,2
