"1","2"
"YLR341W",5,3
"YLR343W",3,3
"YLR368W",3,3
"YML034W",1,1
"YML065W",6,6
"YML119W",2,5
"YMR001C",3,5
"YMR017W",5,3
"YMR118C",2,5
"YMR125W",6,5
"YMR184W",3,3
"YMR188C",6,6
"YMR232W",5,3
"YMR272C",1,1
"YNL013C",1,1
"YNL014W",6,6
"YNL018C",2,5
"YNL019C",2,5
"YNL033W",2,5
"YNL034W",2,5
"YNL128W",5,3
"YNL155W",3,3
"YNL204C",5,3
"YNL205C",1,1
"YNL219C",6,6
"YNL225C",5,1
"YNL318C",4,4
"YNL319W",1,1
"YNR034W",4,4
"YOL015W",2,5
"YOR073W",3,5
"YOL132W",3,3
"YOR033C",6,6
"YOL024W",2,5
"YOL047C",3,3
"YOL091W",5,3
"YOR152C",1,1
"YOR190W",5,3
"YOR214C",2,5
"YOR242C",5,3
"YOR249C",3,3
"YOR255W",5,3
"YOR298W",5,3
"YOR313C",5,3
"YOR339C",6,6
"YOR355W",1,1
"YOR365C",2,5
"YOR366W",1,1
"YPL021W",1,1
"YPL027W",5,3
"YPL033C",1,1
"YPL034W",2,5
"YPL124W",5,1
"YPL130W",5,3
"YPL178W",6,6
"YPR027C",2,5
"YPR077C",1,1
"YPR078C",2,5
"YPR120C",3,3
"YPR140W",1,1
"YPR141C",5,3
"YAL062W",1,1
"YAR007C",6,6
"YAL067C",4,4
"YBR186W",1,1
"YCR010C",4,5
"YDR015c",1,1
"YDR256C",1,1
"YDR285W",3,3
"YDR374C",6,6
"YDR446W",1,1
"YER024w",1,1
"YER044c-a",1,1
"YER179w",1,1
"YFL003C",1,1
"YGL009C",1,1
"YGL033W",1,1
"YGL081W",2,5
"YGL183C",6,6
"YGL249W",3,3
"YGL251C",1,1
"YHL022C",1,1
"YHL024W",5,3
"YHR014W",5,5
"YHR079C-B",1,1
"YHR153C",5,3
"YHR157W",1,1
"YHR202W",2,5
"YHR208W",1,1
"YIL031W",3,3
"YIL072W",5,3
"YIL121W",4,4
"YJL074C",5,3
"YJL106W",6,6
"YJR152W",4,4
"YKL120W",4,4
"YKR033C",1,1
"YKR034W",6,6
"YLL046c",1,1
"YLL047W",1,1
"YLR096w",1,1
"YKR066C",4,5
"YLL027W",2,2
"YLR263W",5,3
"YLR312C",1,1
"YLR438W",1,1
"YLR445W",3,3
"YML042W",1,1
"YML091C",6,6
"YMR133W",1,1
"YMR147W",2,5
"YMR148W",2,5
"YMR198W",5,3
"YNL116W",3,3
"YNL196C",3,3
"YOR100C",1,1
"YOL131W",2,5
"YOL104C",1,1
"YOR177C",5,4
"YOR350C",6,6
"YOR351C",3,3
"YPL111W",1,1
"YPL121C",1,1
"YPL208W",6,6
"YPR007C",1,1
"YAL038W",1,1
"YBL072C",6,6
"YBR005W",4,4
"YBR031W",6,6
"YBR181C",2,2
"YCL064c",1,1
"YDL082w",1,1
"YDR011W",1,5
"YDR012W",6,6
"YDR382W",6,6
"YDR417C",1,1
"YDR418W",2,2
"YDR471W",6,6
"YEL054c",1,1
"YER020w",1,1
"YER056c-a",1,1
"YER074w",1,1
"YER102w",1,1
"YFR031BC",1,1
"YGL031C",6,6
"YGL076C",2,2
"YGR085C",2,2
"YGR148C",6,6
"YHL015W",6,6
"YHR010W",6,6
"YHR139C",3,3
"YHR203C",6,6
"YIL018W",6,6
"YIL052C",6,6
"YJL177W",6,6
"YJR123W",6,6
"YJR145C",6,6
"YKL056C",6,6
"YLL044W",1,1
"YLL045c",1,1
"YLR058c",1,1
"YLR075w",1,1
"YLR076C",1,1
"YLR134w",1,1
"YKR097W",6,6
"YLR325C",6,6
"YLR339C",1,1
"YLR441C",6,6
"YLR448W",2,2
"YML063W",6,6
"YMR242C",6,6
"YMR316W",1,1
"YNL069C",6,6
"YNL096C",2,2
"YNL098C",5,1
"YNL119W",6,6
"YNL178W",2,2
"YNL301C",6,6
"YOL010W",2,2
"YOL016C",6,6
"YOR096W",2,2
"YOL120C",6,6
"YOL039W",6,6
"YOL040C",6,6
"YPL079W",6,6
"YPL081W",6,6
"YPL090C",2,2
"YPL131W",2,2
"YPL198W",2,2
