"1","2","3","4","5"
"AA012995",1,2,5,1,6
"TMEM97",1,6,6,1,1
"SC5D",2,2,5,2,1
"SLC2A12",1,2,5,1,1
"SPTBN1",4,6,6,6,4
"IPO8",6,6,6,6,6
"SLC22A17",1,2,5,1,1
"HMGCR",2,2,5,2,1
"CYP1B1",5,2,5,5,5
"RDH10",1,2,5,1,1
"SYNPO2",2,2,5,2,6
"MID1",6,6,6,6,6
"AA040147",1,2,5,1,6
"PQLC3",1,2,5,1,1
"ELF2",2,2,6,2,6
"HBP1",6,6,6,6,4
"W67250",1,2,5,1,6
"COL3A1",5,6,6,5,5
"PDE8A",2,2,5,2,1
"C1orf198",2,2,5,2,6
"SUSD4",2,2,5,2,6
"SSPN",5,2,5,5,5
"PGRMC2",4,6,6,6,4
"VEZF1",5,2,5,5,5
"TXNIP",6,6,6,6,2
"HMGN3",5,6,6,5,5
"BM-002",6,6,6,6,3
"FAM111A",2,2,6,2,4
"FPGT",2,2,5,2,1
"KIAA1376",6,6,6,6,5
"WEE1",6,6,6,6,4
"HLTF",4,2,6,2,4
"HOXA11",5,6,2,5,5
"USP49",2,2,5,2,6
"RAP140",6,6,6,6,5
"FLJ10971",4,3,3,6,4
"KBTBD6",5,2,6,5,5
"ZNF302",4,2,6,2,4
"DHX57",2,2,5,2,4
"SUPT20H",4,6,6,1,4
"FLJ20008",5,6,6,5,5
"MSL1",5,2,6,5,5
"CACNA1E",5,2,5,5,5
"CREBZF",5,2,5,5,5
"STX7",5,6,6,5,5
"ALDH3A2",2,2,5,2,5
"MEIS1",6,6,6,6,6
"NEDD4L",5,6,6,5,5
"AGGF1",5,6,2,5,2
"F2R",4,6,6,5,4
"PLEKHA5",5,2,5,5,5
"THBS3",5,2,5,5,5
"DAAM1",4,6,6,6,4
"KIT",5,6,6,5,5
"H83657",5,2,3,5,5
"SULT4A1",5,2,5,5,5
"ECM2",5,2,5,5,5
"N64208",5,2,5,5,5
"CYP4V2",2,2,5,2,1
"LDB2",2,2,3,2,6
"HMGB2",5,6,6,5,5
"SLC35E2",1,6,6,1,1
"GTF2I",6,6,6,6,6
"PNRC1",2,2,5,2,6
"TCF7L2",5,6,6,5,5
"SAV1",4,6,6,6,4
"TGFBR3",5,6,6,5,5
"FYN",4,6,6,5,4
"HDHD3",2,2,5,2,6
"PDZRN3",1,2,5,1,6
"LPIN1",2,2,5,2,1
"DDIT3",4,6,6,5,4
"SH3D19",5,2,6,5,5
"ACF7",5,2,5,5,5
"TAX1BP1",6,6,6,6,5
"COBLL1",5,3,3,5,5
"PDE8B",2,2,5,2,1
"ZNF521",2,2,3,2,6
"AHR",5,6,6,5,5
"ACACA",2,2,5,2,1
"W45465",5,2,5,5,6
"CAMK2D",4,6,6,6,4
"PXK",5,6,6,5,5
"TBCK",4,2,5,2,4
"SRGAP2",4,6,6,6,4
"DPYD",2,2,5,2,1
"FAM102B",5,3,3,5,6
"BBS2",5,6,6,5,5
"SERPINA7",4,2,5,2,6
"RB1CC1",2,2,5,2,6
"PBX1",5,2,5,5,6
"RAB11FIP2",5,2,6,5,5
"TFPI",4,1,1,2,4
"AHRR",5,6,6,5,5
"ADD3",4,6,6,1,4
"B3GALT6",1,2,5,1,1
"TCAF1",6,6,6,6,4
"SLC35A1",1,2,5,1,1
"AA010407",5,3,3,5,5
"IFIT2",6,6,6,6,4
"CALCOCO1",6,6,6,6,4
"LSAMP",5,6,2,5,2
"ZBTB44",4,3,3,2,4
"XRN1",5,2,5,5,5
"ZBED5",3,3,3,3,3
"ANGEL2",6,6,6,6,4
"H05758",3,3,3,3,3
"PHF3",6,6,2,6,2
"ADGRL2",4,6,6,6,4
"CLCN3",5,6,6,5,5
"TIA1",4,2,6,2,4
"HCGVIII-1",5,6,6,5,5
"R70902",6,3,3,6,3
"CDKN1B",6,6,6,6,4
"KBTBD7",5,6,6,5,5
"R43550",2,3,3,2,5
"H92076",2,2,3,2,5
"HSF2",2,2,5,2,6
"R72963",2,2,5,2,5
"SIAH1",5,2,2,5,5
"KLF12",2,2,5,2,6
"WW45",2,2,5,2,6
"NAA16",5,2,6,5,5
"H29270",3,3,3,3,3
"R17893",3,3,3,3,3
"CDKN2C",6,6,6,6,5
"SSX2IP",5,6,6,5,5
"TFDP2",4,6,6,5,4
"OXR1",4,6,6,6,4
"HNMT",5,2,6,5,5
"ICE2",2,2,5,2,4
"KIAA0923",3,3,3,3,3
"RFX5",4,2,5,2,4
"MRE11A",4,2,6,2,4
"NBPF1",5,3,3,5,5
"NBPF14",5,3,3,5,5
"STK38",4,6,6,6,6
"T98859",4,3,3,3,4
"ROR2",6,6,6,6,6
"CEBPG",5,6,6,5,5
"CEP57",5,6,6,5,5
"PLSCR1",4,6,6,6,4
"DDX17",2,2,6,2,6
"EFCAB7",2,2,3,2,5
"SNX29",2,2,3,2,6
"ARL14EP",5,6,6,5,5
"UACA",5,2,5,5,5
"PEAK1",2,2,6,2,6
"R51896",5,2,5,5,5
"GOPC",5,6,6,5,5
"ATRX",4,2,5,2,4
"KIAA0355",5,2,3,5,5
"NARS",2,2,5,2,5
"ATG4C",2,2,5,2,6
"YYY",2,3,3,2,5
"NR1D2",4,6,6,5,4
"N33510",2,2,3,2,6
"W73942",2,2,3,2,6
"FOXF2",5,2,6,5,5
"ZFP36L2",5,2,6,5,5
"NSL1",6,6,6,6,4
"PPM1B",4,2,6,2,6
"LRRC32",2,2,3,2,6
"TSTD2",5,2,5,5,5
"IFIT1",6,6,6,6,4
"PSPH",2,2,5,2,1
"KIAA1462",2,2,5,2,6
"DAPK1",4,6,6,6,4
"ZRANB1",4,2,2,5,6
"PTGFRN",1,1,5,1,1
"REEP5",5,2,5,5,5
"ASPH",4,6,6,5,4
"ITFG1",5,3,3,5,5
"CPT1A",2,2,5,2,5
"T85042",5,5,6,5,5
"FBN1",5,6,2,5,5
"R55334",3,5,3,3,3
"PBX3",5,6,2,5,5
"EPS15",5,6,6,5,5
"PLA2R1",5,2,6,5,5
"PCSK6",1,2,2,1,6
"W88694",3,3,3,3,3
"ZNF616",4,2,5,1,4
"ANGPTL2",1,6,2,1,2
"PDGFRB",4,6,2,6,4
"GNAI2",6,6,6,6,4
"MEG3",2,2,5,2,6
"R37986",2,2,5,2,6
"CYP2C9",2,2,5,2,1
"FADS2",2,2,5,2,1
"ELANE",4,2,5,1,4
"W86869",1,2,5,1,1
"AA055520",1,2,5,1,1
"C1R",6,6,6,6,5
"AA004769",1,2,5,1,1
"L3MBTL2",1,2,5,1,6
"LPL",1,2,5,1,1
"AA026215",1,1,5,1,1
"AA026313",1,2,5,1,1
"NUPR1",1,1,5,1,1
"AA039465",1,2,5,1,1
"PAPPA",2,2,5,2,6
"PSAT1",2,2,5,2,1
"FDFT1",2,2,5,2,1
"CYP51A1",2,2,5,2,1
"AA045738",1,2,5,1,1
"DPYSL3",5,6,6,5,5
"IDI1",2,2,5,2,1
"OXSR1",4,6,6,1,6
"INSIG1",5,2,5,5,5
"TMTC1",2,2,5,2,6
"CCNL1",2,2,5,2,6
"UGCG",2,2,5,2,1
"SCD",2,2,5,2,1
"APOD",5,1,2,5,5
"PLPP3",6,6,6,6,2
"AA021170",1,4,4,4,1
"W67988",1,1,1,4,1
"NEDD9",6,6,6,6,4
"SMC2",5,6,6,5,5
"NUSAP1",6,6,6,6,4
"AA009547",3,5,3,3,3
"PRIM2",5,2,6,5,5
"NUCKS1",3,3,3,3,3
"LBR",2,2,5,2,1
"N54485",3,3,3,3,3
"CENPE",4,6,6,6,4
"MELK",5,6,6,5,5
"HAUS1",6,6,6,6,4
"MSH2",6,6,6,6,5
"W93536",3,5,6,3,3
"POLD3",2,2,6,2,5
"FAF1",4,6,6,6,4
"ADAMTS1",6,6,6,6,2
"ARL4D",4,6,6,6,4
"SLC38A2",6,6,6,6,5
"AA035262",3,3,3,3,3
"CNAP1",3,5,3,3,3
"AA029676",3,5,3,3,3
"PCNA",5,2,6,5,5
"N55327",3,5,3,3,3
"ARRDC4",4,6,2,6,6
"TOP2A",5,6,6,5,5
"CKAP2",6,6,6,6,4
"R13146",3,5,3,3,3
"R10991",3,5,3,3,3
"H68297",3,5,3,3,3
"HSPC150",3,5,3,3,3
"CENPF",5,6,6,5,5
"RRM1",2,2,5,2,1
"CCNA2",6,6,6,6,5
"R20345",3,5,3,3,3
"FEN1",2,2,6,2,5
"KPNA2",4,6,6,6,4
"ARL6IP1",4,6,6,6,4
"RRM2",2,2,5,2,1
"CDK1",4,6,6,5,4
"OCLN",6,6,6,6,5
"CKS2",5,2,2,5,5
"CCNB1",4,6,6,6,4
"UGT2B7",2,2,5,2,1
"ATF3",4,2,5,2,6
"PPP4C",2,2,6,2,6
"BRD3",4,2,5,2,4
"T95837",2,2,5,2,6
"FOS",6,6,6,6,6
"EGR1",4,6,6,6,6
"NR4A2",6,6,6,6,6
"CXCL2",4,6,6,6,4
"GEM",6,6,6,6,5
"R16980",1,1,1,1,1
"ATP1B3",5,1,1,5,5
"ZBTB21",1,2,5,1,1
"W72835",4,1,1,4,2
"TNFAIP3",4,1,1,6,4
"HIVEP2",4,6,2,6,2
"GFM2",1,2,5,1,1
"CCL2",4,1,1,5,4
"FAM175B",1,1,1,4,2
"IL1B",4,1,2,5,4
"CXCL8",4,6,2,6,4
"R25353",1,1,1,4,2
"ETS2",1,1,2,1,2
"ETS1",4,1,2,5,4
"CLDN4",6,6,2,6,2
"PMEPA1",6,6,2,6,2
"VEGFA",5,1,2,5,5
"FLT1",4,1,2,6,2
"MAT2A",1,2,5,1,1
"H25689",1,1,1,4,2
"FLYWCH1",4,1,1,4,2
"THBD",4,1,1,1,4
"BMPR2",4,1,2,6,2
"T48818",1,1,1,4,2
"STC1",4,1,2,5,2
"RGS4",6,1,2,6,2
"FCGR2B",6,6,6,6,2
"ATG4A",1,2,5,1,1
"T62684",1,1,1,4,2
"YRDC",4,1,2,6,4
"DUSP6",4,6,2,6,4
"GRPEL1",2,2,1,2,1
"TMEM2",1,4,4,4,2
"FGF7",4,6,2,6,4
"W52295",1,1,1,4,2
"W44677",1,1,1,4,2
"H02190",2,2,2,2,2
"ADRA2C",4,6,6,5,4
"T82817",3,5,2,3,3
"FURIN",5,2,2,5,5
"MKI67",4,2,2,5,4
"RPS2",5,2,6,5,5
"SDF1",3,5,6,3,3
"RAN",4,6,6,5,4
"ITGA6",4,6,2,5,4
"ACP1",3,5,6,3,3
"CDK7",5,6,6,5,5
"CNDP2",2,2,5,2,1
"AA028949",3,5,3,3,3
"RANBP1",6,6,6,6,2
"SDCBP2",6,6,2,6,2
"NOP56",2,2,2,2,2
"TRIM3",6,6,2,6,2
"HSPA8",4,6,6,6,4
"TBCB",2,2,5,2,6
"CENPN",6,6,2,6,2
"T54874",3,4,4,4,2
"R16047",6,4,2,4,2
"ESM1",6,6,2,6,2
"DSP",6,6,6,6,2
"HNT",6,4,2,4,2
"OPCML",5,6,2,5,5
"DNAJB9",6,6,6,6,2
"ZDHHC18",2,2,5,2,6
"NEK7",6,6,6,6,2
"R99596",3,5,2,4,2
"R39465",3,5,3,3,3
"OXTR",6,6,6,6,4
"MPC1",5,2,5,5,5
"EBNA1BP2",3,5,2,3,3
"R78225",6,4,4,4,2
"H01821",6,4,4,4,2
"HSPB7",6,1,2,6,2
"GCH1",1,2,2,1,1
"TIMP3",5,6,6,5,5
"DDX21",1,1,2,1,2
"ANPEP",1,2,1,1,1
"W74639",3,4,4,4,2
"PPIF",4,6,2,5,4
"CTPS",3,4,4,4,2
"MICAL2",1,2,2,1,2
"TM4SF1",5,1,1,5,5
"NEU1",1,2,5,1,1
"OGFRL1",3,4,4,4,2
"RCAN1",6,6,2,6,2
"AA057801",3,4,4,4,2
"MYO10",6,6,6,6,2
"SERPINB2",4,1,1,6,2
"TGM2",4,6,2,6,2
"SSR3",5,2,6,5,5
"S1PR1",5,6,2,5,5
"CXCL12",4,6,6,5,4
"MT1M",6,6,6,6,5
"WDR1",4,1,1,6,4
"PLOD2",6,6,6,6,1
"ATP5G1",2,2,5,2,5
"S100A16",3,4,2,4,2
"PFKP",1,2,5,1,1
"SLC20A1",4,6,2,6,2
"CYCS",5,2,6,5,5
"PSMD2",6,6,6,6,4
"MT1L",3,4,2,4,2
"MT2A",6,6,6,6,2
"PTMA",4,2,5,2,4
"T85217",6,4,4,4,2
"GPM6B",6,6,2,6,2
"H85111",6,4,2,4,2
"FAM101B",3,4,2,4,2
"MT1G",6,6,6,6,2
"N55459",3,4,2,4,2
"ESPL1",6,6,6,6,2
"KIAA0368",1,6,2,1,1
"CDH2",5,6,2,5,5
"SERPIND1",4,1,1,6,2
"H48459",6,4,2,4,2
"MRPL35",2,2,5,2,5
"TMEM106A",5,6,2,5,5
"R21876",6,4,4,4,2
"TFPI2",6,4,4,4,2
"PKM2",3,4,2,3,2
"CCT5",2,2,5,2,6
"CLTC",1,6,2,1,1
"RGS12",6,6,2,6,2
"ACLY",1,2,5,1,1
"FLNB",6,6,6,6,2
"TPM1",4,1,2,1,2
"AA046572",1,4,4,4,2
"MAP2K3",4,6,6,6,4
"NET1",4,6,6,6,4
"UAP1",2,2,5,2,1
"PLAUR",4,1,1,1,4
"NDRG2",6,6,2,6,2
"R36703",1,1,1,4,2
"F3",4,1,1,6,4
"PTGS2",1,2,5,1,1
"ID3",6,6,2,6,2
"KLF10",5,6,2,5,5
"ACKR3",4,1,2,1,6
"CTGF",5,6,5,5,5
"ARV1",1,2,5,1,1
"N58770",1,2,5,1,1
"CDKN1A",6,6,6,6,4
"ZNF584",4,2,5,1,4
"NR4A3",5,2,5,5,5
"BHLHE40",5,2,5,5,5
"MPC2",2,2,5,2,1
"JUNB",4,6,5,5,4
"AA044235",1,1,5,1,1
"MCL1",4,6,2,6,4
"NAMPT",1,2,5,1,1
"EDN1",4,1,1,1,4
"IL6",4,1,2,5,4
"SGK1",5,6,2,5,5
"KLF6",2,2,5,2,6
"DUSP1",5,2,2,5,6
