"1","2","3"
"COL3A1",2,5,2
"PDE8A",1,1,1
"C1orf198",1,1,1
"SUSD4",2,1,1
"SSPN",5,5,5
"PGRMC2",2,2,5
"VEZF1",5,1,5
"TXNIP",4,2,2
"HMGN3",4,4,4
"BM-002",3,2,2
"FAM111A",4,4,4
"FPGT",4,5,4
"KIAA1376",3,2,2
"WEE1",4,2,2
"HLTF",5,4,5
"HOXA11",5,2,5
"USP49",1,1,1
"RAP140",3,3,3
"FLJ10971",1,1,1
"KBTBD6",4,4,4
"ZNF302",5,4,5
"DHX57",4,4,4
"SUPT20H",4,4,4
"FLJ20008",3,3,3
"MSL1",1,1,1
"CACNA1E",4,4,4
"CREBZF",5,4,5
"STX7",4,2,2
"ALDH3A2",4,4,4
"MEIS1",4,4,4
"NEDD4L",4,4,4
"AGGF1",4,4,4
"F2R",5,2,5
"PLEKHA5",1,5,1
"THBS3",1,1,1
"DAAM1",5,2,5
"KIT",2,2,2
"H83657",3,3,3
"SULT4A1",1,5,1
"ECM2",1,1,1
"N64208",1,1,1
"CYP4V2",1,5,1
"LDB2",1,1,1
"HMGB2",4,4,4
"SLC35E2",1,5,2
"GTF2I",5,2,5
"PNRC1",1,1,1
"TCF7L2",2,4,4
"SAV1",5,2,5
"TGFBR3",2,2,5
"FYN",2,2,2
"HDHD3",1,1,1
"PDZRN3",1,1,1
"LPIN1",1,5,1
"DDIT3",2,4,5
"SH3D19",2,5,1
"ACF7",3,3,3
"TAX1BP1",5,2,2
"COBLL1",3,3,3
"PDE8B",1,1,1
"ZNF521",1,1,1
"AHR",2,4,5
"ACACA",1,5,1
"W45465",1,1,1
"CAMK2D",2,2,2
"PXK",1,2,2
"TBCK",1,1,1
"SRGAP2",4,2,2
"DPYD",1,1,1
"FAM102B",1,1,1
"BBS2",4,2,2
"SERPINA7",1,1,1
"RB1CC1",1,1,1
"PBX1",5,1,5
"RAB11FIP2",1,5,1
"TFPI",1,1,1
"AHRR",5,1,5
"ADD3",1,5,2
"B3GALT6",1,5,1
"TCAF1",1,2,2
"SLC35A1",1,5,1
"AA010407",3,3,3
"IFIT2",2,2,2
"CALCOCO1",5,2,5
"LSAMP",5,2,2
"ZBTB44",1,1,1
"XRN1",1,1,1
"ZBED5",3,3,3
"ANGEL2",4,2,2
"H05758",3,3,3
"PHF3",5,4,5
"ADGRL2",5,2,2
"CLCN3",4,2,2
"TIA1",4,4,4
"HCGVIII-1",3,3,3
"R70902",3,3,3
"CDKN1B",2,2,2
"KBTBD7",2,2,2
"R43550",3,3,3
"H92076",3,3,3
"HSF2",5,1,5
"R72963",1,1,1
"SIAH1",2,4,4
"KLF12",5,1,5
"WW45",1,1,1
"NAA16",2,4,5
"H29270",3,3,3
"R17893",3,3,3
"CDKN2C",4,2,2
"SSX2IP",1,1,1
"TFDP2",5,4,5
"OXR1",1,2,2
"HNMT",4,2,2
"ICE2",5,1,5
"KIAA0923",3,3,3
"RFX5",5,4,5
"MRE11A",4,4,4
"NBPF1",3,3,3
"NBPF14",3,3,3
"STK38",1,1,1
"T98859",3,3,3
"ROR2",5,2,5
"CEBPG",5,4,5
"CEP57",4,2,2
"PLSCR1",2,4,4
"DDX17",5,4,5
"EFCAB7",3,3,3
"SNX29",1,1,1
"ARL14EP",3,3,3
"UACA",4,4,4
"PEAK1",1,1,1
"R51896",1,1,1
"GOPC",2,2,2
"ATRX",2,1,1
"KIAA0355",3,3,3
"NARS",1,1,1
"ATG4C",1,1,1
"YYY",3,3,3
"NR1D2",5,4,5
"N33510",1,1,1
"W73942",1,1,1
"FOXF2",5,4,5
"ZFP36L2",5,4,5
"NSL1",5,2,2
"PPM1B",2,1,1
"LRRC32",1,1,1
"TSTD2",4,4,4
"IFIT1",2,2,2
"PSPH",1,5,1
"KIAA1462",2,1,1
"DAPK1",2,2,2
"ZRANB1",1,1,1
"PTGFRN",1,5,1
"REEP5",4,5,4
"ASPH",2,2,5
"ITFG1",3,3,3
"CPT1A",4,5,4
"T85042",4,4,4
"FBN1",5,2,5
"R55334",4,4,4
"PBX3",5,2,5
"EPS15",2,2,2
"PLA2R1",5,2,2
"PCSK6",5,5,5
"W88694",3,3,3
"ZNF616",5,4,5
"ANGPTL2",5,4,5
"PDGFRB",2,2,5
"GNAI2",5,2,5
"MEG3",2,5,1
"R37986",2,5,1
"CYP2C9",1,5,1
"FADS2",1,5,1
"ELANE",2,5,5
"W86869",2,5,1
"AA055520",2,5,1
"C1R",1,2,2
"AA004769",2,5,1
"L3MBTL2",2,5,1
"LPL",2,5,5
"AA026215",2,5,5
"AA026313",2,5,1
"NUPR1",5,5,5
"AA039465",1,5,1
"PAPPA",1,1,1
"PSAT1",1,5,1
"FDFT1",1,5,1
"CYP51A1",1,5,1
"AA045738",2,5,1
"DPYSL3",2,5,1
"IDI1",1,5,1
"OXSR1",2,1,5
"INSIG1",5,5,5
"TMTC1",2,5,1
"CCNL1",5,1,5
"UGCG",1,5,1
"SCD",2,5,1
"APOD",5,5,5
"PLPP3",4,2,2
"AA021170",5,5,5
"W67988",5,5,5
"NEDD9",5,2,5
"SMC2",4,4,4
"NUSAP1",4,4,4
"AA009547",4,4,4
"PRIM2",4,4,4
"NUCKS1",3,3,3
"LBR",1,5,1
"N54485",4,4,4
"CENPE",4,4,4
"MELK",4,4,4
"HAUS1",1,1,1
"MSH2",4,4,4
"W93536",4,4,4
"POLD3",1,1,1
"FAF1",4,2,2
"ADAMTS1",2,2,2
"ARL4D",1,2,2
"SLC38A2",4,2,2
"AA035262",4,4,4
"CNAP1",3,3,3
"AA029676",4,4,4
"PCNA",4,4,4
"N55327",4,4,4
"ARRDC4",2,4,4
"TOP2A",4,4,4
"CKAP2",5,4,5
"R13146",4,4,4
"R10991",4,4,4
"H68297",4,4,4
"HSPC150",4,4,4
"CENPF",4,4,4
"RRM1",4,4,4
"CCNA2",4,2,2
"R20345",4,4,4
"FEN1",4,4,4
"KPNA2",4,4,4
"ARL6IP1",4,4,4
"RRM2",4,4,4
"CDK1",4,4,4
"OCLN",4,4,4
"CKS2",4,4,4
"CCNB1",4,4,4
"UGT2B7",1,1,1
"ATF3",5,1,5
"PPP4C",1,1,1
"BRD3",2,4,5
"T95837",2,5,1
"FOS",2,2,5
"EGR1",2,4,5
"NR4A2",2,2,5
"CXCL2",5,2,5
"GEM",5,2,5
"R16980",5,5,5
"ATP1B3",5,5,5
"ZBTB21",5,1,5
"W72835",5,5,5
"TNFAIP3",5,2,5
"HIVEP2",5,2,5
"GFM2",5,5,5
"CCL2",5,2,5
"FAM175B",5,5,5
"IL1B",5,5,5
"CXCL8",5,2,5
"R25353",5,5,5
"ETS2",5,5,5
"ETS1",5,4,5
"CLDN4",5,2,5
"PMEPA1",5,2,5
"VEGFA",5,4,5
"FLT1",5,2,5
"MAT2A",5,5,5
"H25689",5,5,5
"FLYWCH1",5,5,5
"THBD",5,5,5
"BMPR2",5,2,5
"T48818",5,5,5
"STC1",5,2,5
"RGS4",5,2,5
"FCGR2B",5,2,2
"ATG4A",5,5,5
"T62684",5,5,5
"YRDC",5,2,5
"DUSP6",5,2,5
"GRPEL1",5,1,5
"TMEM2",5,5,5
"FGF7",5,2,5
"W52295",5,5,5
"W44677",5,5,5
"H02190",2,4,4
"ADRA2C",5,2,5
"T82817",4,4,4
"FURIN",2,4,5
"MKI67",5,5,5
"RPS2",4,4,4
"SDF1",4,4,4
"RAN",4,4,4
"ITGA6",4,4,4
"ACP1",4,4,4
"CDK7",5,4,5
"CNDP2",4,5,4
"AA028949",4,4,4
"RANBP1",5,2,2
"SDCBP2",5,2,5
"NOP56",5,4,5
"TRIM3",5,4,5
"HSPA8",4,4,4
"TBCB",1,1,1
"CENPN",5,2,5
"T54874",5,4,5
"R16047",5,2,5
"ESM1",5,2,5
"DSP",5,2,2
"HNT",5,2,2
"OPCML",5,2,5
"DNAJB9",5,2,5
"ZDHHC18",5,1,5
"NEK7",4,2,2
"R99596",4,4,4
"R39465",4,4,4
"OXTR",5,2,2
"MPC1",4,5,4
"EBNA1BP2",4,4,4
"R78225",5,2,5
"H01821",5,2,5
"HSPB7",5,2,5
"GCH1",5,5,5
"TIMP3",2,4,5
"DDX21",5,4,5
"ANPEP",5,5,5
"W74639",5,4,5
"PPIF",5,4,5
"CTPS",5,4,5
"MICAL2",5,5,5
"TM4SF1",5,5,5
"NEU1",5,5,5
"OGFRL1",5,4,5
"RCAN1",5,2,5
"AA057801",5,4,5
"MYO10",5,2,2
"SERPINB2",5,2,5
"TGM2",5,2,2
"SSR3",5,4,5
"S1PR1",5,2,2
"CXCL12",5,2,5
"MT1M",4,2,2
"WDR1",5,2,5
"PLOD2",4,4,4
"ATP5G1",4,5,4
"S100A16",4,2,2
"PFKP",4,5,4
"SLC20A1",5,2,5
"CYCS",4,4,4
"PSMD2",5,2,5
"MT1L",4,4,4
"MT2A",5,2,2
"PTMA",5,4,5
"T85217",5,2,5
"GPM6B",5,2,5
"H85111",5,4,5
"FAM101B",4,4,4
"MT1G",5,2,2
"N55459",4,4,4
"ESPL1",4,4,4
"KIAA0368",4,4,4
"CDH2",5,2,5
"SERPIND1",5,4,5
"H48459",5,4,5
"MRPL35",5,4,5
"TMEM106A",4,4,4
"R21876",5,4,5
"TFPI2",5,2,5
"PKM2",4,4,4
"CCT5",5,1,5
"CLTC",5,5,5
"RGS12",5,2,5
"ACLY",5,5,5
"FLNB",5,2,5
"TPM1",5,5,5
"AA046572",5,5,5
"MAP2K3",5,2,5
"NET1",5,2,5
"UAP1",5,1,5
"PLAUR",5,4,5
"NDRG2",5,2,5
"R36703",5,5,5
"F3",5,2,5
"PTGS2",5,5,5
"ID3",5,4,5
"KLF10",5,2,5
"ACKR3",5,5,5
"CTGF",5,5,5
"ARV1",5,5,5
"N58770",2,5,1
"CDKN1A",2,2,5
"ZNF584",5,4,5
"NR4A3",2,5,5
"BHLHE40",5,4,5
"MPC2",1,5,1
"JUNB",2,4,5
"AA044235",2,5,5
"MCL1",5,2,5
"NAMPT",5,5,5
"EDN1",5,5,5
"IL6",2,2,5
"SGK1",5,5,5
"KLF6",5,4,5
"DUSP1",2,1,5
